COLLEGE ID,COLLEGE NAME,CAMPUS ID,CAMPUS,CITY/TOWN,POSTAL CODE,PROGRAM NAME,PROGRAM TYPE,PROGRAM CATEGORY,AUDIT,"GRADUATION RATE
(%)","GRADUATE EMPLOYMENT RATE
(%)","GRADUATE EMPLOYMENT RATE IN THE FIELD OF STUDY
(%)","GRADUATE SATISFACTION RATE
(% Satisfied)","EMPLOYER SATISFACTION RATE
(% Satisfied)","OSAP DEFAULT RATE
(%)"
200072,CANADIAN BUSINESS SCHOOL INC.,101268,"CANADIAN BUSINESS COLLEGE, TORONTO",TORONTO,M4W 3E2,POLICE FOUNDATIONS,Law and Public Safety,Law Enforcement/Police Foundations,Y,77.8%,100.0%,0.0%,100.0%,100.0%,ND
200072,CANADIAN BUSINESS SCHOOL INC.,101268,"CANADIAN BUSINESS COLLEGE, TORONTO",TORONTO,M4W 3E2,SOFTWARE ENGINEERING,Computer and Information Technology,Computer Engineering and Programming,Y,54.5%,0.0%,0.0%,0.0%,ND,ND
200072,CANADIAN BUSINESS SCHOOL INC.,101268,"CANADIAN BUSINESS COLLEGE, TORONTO",TORONTO,M4W 3E2,SUPPLY CHAIN MANAGEMENT AND LOGISTICS,Business,Supply Chain Management and Logistics,Y,ND,SS,SS,SS,ND,ND
200072,CANADIAN BUSINESS SCHOOL INC.,101303,"CANADIAN BUSINESS COLLEGE, MISSISSAUGA",MISSISSAUGA,L5B 1M5,+,,,Y,72.7%,82.5%,57.5%,68.2%,100.0%,6.1%
200072,CANADIAN BUSINESS SCHOOL INC.,101303,"CANADIAN BUSINESS COLLEGE, MISSISSAUGA",MISSISSAUGA,L5B 1M5,ACCOUNTING & PAYROLL ADMINISTRATOR,Business,Accounting and Payroll Administration,Y,94.1%,91.7%,83.3%,83.3%,100.0%,ND
200072,CANADIAN BUSINESS SCHOOL INC.,101303,"CANADIAN BUSINESS COLLEGE, MISSISSAUGA",MISSISSAUGA,L5B 1M5,ADVANCED DATABASE ADMINISTRATOR,Computer and Information Technology,Information Technology,Y,100.0%,100.0%,100.0%,100.0%,ND,ND
200072,CANADIAN BUSINESS SCHOOL INC.,101303,"CANADIAN BUSINESS COLLEGE, MISSISSAUGA",MISSISSAUGA,L5B 1M5,BUSINESS MANAGEMENT,Business,Business Management,Y,57.9%,71.4%,28.6%,50.0%,ND,ND
200072,CANADIAN BUSINESS SCHOOL INC.,101303,"CANADIAN BUSINESS COLLEGE, MISSISSAUGA",MISSISSAUGA,L5B 1M5,COMMUNITY SERVICES WORKER,Community and Social Services,Community Services Worker,Y,66.7%,40.0%,0.0%,28.6%,ND,ND
200072,CANADIAN BUSINESS SCHOOL INC.,101303,"CANADIAN BUSINESS COLLEGE, MISSISSAUGA",MISSISSAUGA,L5B 1M5,DIGITAL MEDIA WEB DESIGNER,Computer and Information Technology,Information Technology,Y,SS,ND,ND,ND,ND,ND
200072,CANADIAN BUSINESS SCHOOL INC.,101303,"CANADIAN BUSINESS COLLEGE, MISSISSAUGA",MISSISSAUGA,L5B 1M5,EARLY CHILDCARE ASSISTANT,Human Services,Early Childhood Assistant,Y,21.4%,SS,SS,100.0%,ND,ND
200072,CANADIAN BUSINESS SCHOOL INC.,101303,"CANADIAN BUSINESS COLLEGE, MISSISSAUGA",MISSISSAUGA,L5B 1M5,FULL STACK SOFTWARE DEVELOPMENT,Computer and Information Technology,Information Technology,Y,SS,ND,ND,ND,ND,ND
200072,CANADIAN BUSINESS SCHOOL INC.,101303,"CANADIAN BUSINESS COLLEGE, MISSISSAUGA",MISSISSAUGA,L5B 1M5,LAW CLERK,Law and Public Safety,Law Clerk,Y,66.7%,SS,SS,SS,ND,ND
200072,CANADIAN BUSINESS SCHOOL INC.,101303,"CANADIAN BUSINESS COLLEGE, MISSISSAUGA",MISSISSAUGA,L5B 1M5,MARKETING AND DIGITAL MEDIA,Business,Marketing/Advertising,Y,75.0%,100.0%,100.0%,0.0%,ND,ND
200072,CANADIAN BUSINESS SCHOOL INC.,101303,"CANADIAN BUSINESS COLLEGE, MISSISSAUGA",MISSISSAUGA,L5B 1M5,MEDICAL & HEALTH ADMINISTRATION,Health Services,Medical Office Administration/Management,Y,93.3%,100.0%,50.0%,100.0%,ND,ND
200072,CANADIAN BUSINESS SCHOOL INC.,101303,"CANADIAN BUSINESS COLLEGE, MISSISSAUGA",MISSISSAUGA,L5B 1M5,POLICE FOUNDATIONS,Law and Public Safety,Law Enforcement/Police Foundations,Y,83.3%,100.0%,33.3%,100.0%,ND,ND
200072,CANADIAN BUSINESS SCHOOL INC.,101303,"CANADIAN BUSINESS COLLEGE, MISSISSAUGA",MISSISSAUGA,L5B 1M5,SOFTWARE ENGINEERING,Computer and Information Technology,Computer Engineering and Programming,Y,SS,SS,SS,SS,ND,ND
200072,CANADIAN BUSINESS SCHOOL INC.,101303,"CANADIAN BUSINESS COLLEGE, MISSISSAUGA",MISSISSAUGA,L5B 1M5,SUPPLY CHAIN MANAGEMENT AND LOGISTICS,Business,Supply Chain Management and Logistics,Y,ND,SS,SS,SS,ND,ND
200075,1306050 ONTARIO LTD.,+,+,,,+,,,Y,63.0%,74.5%,48.9%,88.7%,100.0%,ND
200075,1306050 ONTARIO LTD.,101273,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, TORONTO/1123 ALBION RD.",TORONTO,M9V 1A9,+,,,Y,63.0%,74.5%,48.9%,88.7%,100.0%,11.1%
200075,1306050 ONTARIO LTD.,101273,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, TORONTO/1123 ALBION RD.",TORONTO,M9V 1A9,A+ CERTIFICATION PREPARATION,Computer and Information Technology,Information Technology,Y,SS,SS,SS,SS,ND,ND
200075,1306050 ONTARIO LTD.,101273,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, TORONTO/1123 ALBION RD.",TORONTO,M9V 1A9,ACCOUNTING AND PAYROLL ADMINISTRATOR,Business,Accounting and Payroll Administration,Y,82.4%,33.3%,0.0%,50.0%,ND,ND
200075,1306050 ONTARIO LTD.,101273,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, TORONTO/1123 ALBION RD.",TORONTO,M9V 1A9,ADMINISTRATIVE ASSISTANT,Business,Office Administration,Y,SS,SS,SS,SS,ND,ND
200075,1306050 ONTARIO LTD.,101273,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, TORONTO/1123 ALBION RD.",TORONTO,M9V 1A9,BUSINESS ADMINISTRATION DIPLOMA,Business,Business Administration,Y,85.7%,60.0%,20.0%,66.7%,ND,ND
200075,1306050 ONTARIO LTD.,101273,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, TORONTO/1123 ALBION RD.",TORONTO,M9V 1A9,BUSINESS OFFICE ACCOUNTING CLERK,Business,Accounting,Y,SS,ND,ND,ND,ND,ND
200075,1306050 ONTARIO LTD.,101273,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, TORONTO/1123 ALBION RD.",TORONTO,M9V 1A9,COMPUTER SERVICE TECHNICIAN,Computer and Information Technology,Information Technology,Y,SS,SS,SS,SS,ND,ND
200075,1306050 ONTARIO LTD.,101273,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, TORONTO/1123 ALBION RD.",TORONTO,M9V 1A9,CONFERENCE AND EVENT PLANNER,Business,Hospitality Administration/Management,Y,73.7%,33.3%,0.0%,100.0%,ND,ND
200075,1306050 ONTARIO LTD.,101273,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, TORONTO/1123 ALBION RD.",TORONTO,M9V 1A9,GRAPHIC DESIGNER,Applied Arts and Science,Graphic Design/Printing,Y,SS,ND,ND,ND,ND,ND
200075,1306050 ONTARIO LTD.,101273,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, TORONTO/1123 ALBION RD.",TORONTO,M9V 1A9,HOME INSPECTION DIPLOMA,Services,Other - Services,Y,66.7%,ND,ND,ND,ND,ND
200075,1306050 ONTARIO LTD.,101273,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, TORONTO/1123 ALBION RD.",TORONTO,M9V 1A9,INTERNATIONAL HOSPITALITY MANAGEMENT,Business,Hospitality Administration/Management,Y,SS,ND,ND,ND,ND,ND
200075,1306050 ONTARIO LTD.,101273,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, TORONTO/1123 ALBION RD.",TORONTO,M9V 1A9,IT SECURITY SPECIALIST,Computer and Information Technology,Computer Security and Project Management,Y,ND,ND,ND,ND,ND,ND
200075,1306050 ONTARIO LTD.,101273,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, TORONTO/1123 ALBION RD.",TORONTO,M9V 1A9,MARKETING COORDINATOR,Business,Marketing/Advertising,Y,SS,ND,ND,ND,ND,ND
200075,1306050 ONTARIO LTD.,101273,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, TORONTO/1123 ALBION RD.",TORONTO,M9V 1A9,MEDICAL OFFICE ASSISTANT WITH HEALTH UNIT COORDINATOR SPECIALTY,Health Services,Medical Office Administration/Management,Y,100.0%,80.0%,80.0%,100.0%,ND,ND
200075,1306050 ONTARIO LTD.,101273,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, TORONTO/1123 ALBION RD.",TORONTO,M9V 1A9,MEDICAL OFFICE ASSISTANT,Health Services,Medical Office Administration/Management,Y,SS,ND,ND,ND,ND,ND
200075,1306050 ONTARIO LTD.,101273,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, TORONTO/1123 ALBION RD.",TORONTO,M9V 1A9,MEDICAL RECEPTIONIST,Health Services,Office/Clerical/Administration - Dental/Medical,Y,SS,SS,SS,SS,ND,ND
200075,1306050 ONTARIO LTD.,101273,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, TORONTO/1123 ALBION RD.",TORONTO,M9V 1A9,NETWORK ADMINISTRATOR,Computer and Information Technology,Network Administration,Y,80.0%,ND,ND,ND,ND,ND
200075,1306050 ONTARIO LTD.,101273,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, TORONTO/1123 ALBION RD.",TORONTO,M9V 1A9,PERSONAL SUPPORT WORKER,Health Services,Personal Support Worker/Personal Attendant,Y,53.1%,87.5%,70.8%,96.0%,ND,ND
200075,1306050 ONTARIO LTD.,101273,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, TORONTO/1123 ALBION RD.",TORONTO,M9V 1A9,PROJECT ADMINISTRATION,Business,Project Administration/Management,Y,ND,SS,SS,SS,ND,ND
200075,1306050 ONTARIO LTD.,101273,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, TORONTO/1123 ALBION RD.",TORONTO,M9V 1A9,WEB DESIGNER,Computer and Information Technology,Information Technology,Y,SS,SS,SS,SS,100.0%,ND
200079,TIFFANY SCHOOL OF ADVANCED AESTHETICS AND ELECTROLYSIS INC.,+,+,,,+,,,Y,80.0%,66.7%,66.7%,100.0%,ND,ND
200079,TIFFANY SCHOOL OF ADVANCED AESTHETICS AND ELECTROLYSIS INC.,101280,"TIFFANY SCHOOL OF ADVANCED AESTHETICS AND ELECTROLYSIS, THORNHILL",TORONTO,M3J 2K6,+,,,Y,80.0%,66.7%,66.7%,100.0%,ND,ND
200079,TIFFANY SCHOOL OF ADVANCED AESTHETICS AND ELECTROLYSIS INC.,101280,"TIFFANY SCHOOL OF ADVANCED AESTHETICS AND ELECTROLYSIS, THORNHILL",TORONTO,M3J 2K6,ADVANCED AESTHETICS,Human Services,Esthetics/Medical Esthetics,Y,80.0%,SS,SS,100.0%,ND,ND
200079,TIFFANY SCHOOL OF ADVANCED AESTHETICS AND ELECTROLYSIS INC.,101280,"TIFFANY SCHOOL OF ADVANCED AESTHETICS AND ELECTROLYSIS, THORNHILL",TORONTO,M3J 2K6,ELECTROLYSIS,Human Services,Esthetics/Medical Esthetics,Y,ND,SS,SS,SS,ND,ND
200081,THE CULINARY ARTS SCHOOL OF ONTARIO LTD,+,+,,,+,,,Y,50.0%,87.5%,87.5%,100.0%,100.0%,ND
200081,THE CULINARY ARTS SCHOOL OF ONTARIO LTD,101282,"CHEF SCHOOL, MISSISSAUGA",MISSISSAUGA,L4Z 1T1,+,,,Y,50.0%,87.5%,87.5%,100.0%,100.0%,ND
200081,THE CULINARY ARTS SCHOOL OF ONTARIO LTD,101282,"CHEF SCHOOL, MISSISSAUGA",MISSISSAUGA,L4Z 1T1,CULINARY ARTS DIPLOMA,Service Trade,Chef,Y,SS,SS,SS,SS,ND,ND
200081,THE CULINARY ARTS SCHOOL OF ONTARIO LTD,101282,"CHEF SCHOOL, MISSISSAUGA",MISSISSAUGA,L4Z 1T1,PROFESSIONAL CHEF,Service Trade,Chef,Y,SS,ND,ND,ND,ND,ND
200081,THE CULINARY ARTS SCHOOL OF ONTARIO LTD,101282,"CHEF SCHOOL, MISSISSAUGA",MISSISSAUGA,L4Z 1T1,SOUS CHEF,Service Trade,Chef,Y,100.0%,85.7%,85.7%,100.0%,100.0%,ND
200082,KNOWLEDGE TRACK INC.,+,+,,,+,,,Y,77.3%,80.0%,30.0%,66.7%,ND,ND
200082,KNOWLEDGE TRACK INC.,101283,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, OTTAWA",OTTAWA,K2G 5J8,+,,,Y,77.3%,80.0%,30.0%,66.7%,ND,ND
200082,KNOWLEDGE TRACK INC.,101283,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, OTTAWA",OTTAWA,K2G 5J8,A+ CERTIFICATION PREPARATION,Computer and Information Technology,Information Technology,Y,SS,ND,ND,ND,ND,ND
200082,KNOWLEDGE TRACK INC.,101283,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, OTTAWA",OTTAWA,K2G 5J8,ACCOUNTING AND PAYROLL ADMINISTRATOR,Business,Accounting and Payroll Administration,Y,SS,ND,ND,ND,ND,ND
200082,KNOWLEDGE TRACK INC.,101283,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, OTTAWA",OTTAWA,K2G 5J8,ADMINISTRATIVE ASSISTANT,Business,Office Administration,Y,ND,SS,SS,SS,ND,ND
200082,KNOWLEDGE TRACK INC.,101283,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, OTTAWA",OTTAWA,K2G 5J8,BUSINESS ACCOUNTING,Business,Accounting,Y,SS,SS,SS,SS,ND,ND
200082,KNOWLEDGE TRACK INC.,101283,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, OTTAWA",OTTAWA,K2G 5J8,BUSINESS ADMINISTRATION DIPLOMA,Business,Business Administration,Y,SS,SS,SS,SS,ND,ND
200082,KNOWLEDGE TRACK INC.,101283,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, OTTAWA",OTTAWA,K2G 5J8,COMMUNITY SERVICE WORKER VIRTUAL LEARNING,Community and Social Services,Community Services Worker,Y,ND,SS,SS,ND,ND,ND
200082,KNOWLEDGE TRACK INC.,101283,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, OTTAWA",OTTAWA,K2G 5J8,COMPUTER SERVICE TECHNICIAN,Computer and Information Technology,Information Technology,Y,SS,ND,ND,ND,ND,ND
200082,KNOWLEDGE TRACK INC.,101283,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, OTTAWA",OTTAWA,K2G 5J8,CONFERENCE AND EVENT PLANNER,Business,Hospitality Administration/Management,Y,ND,SS,SS,ND,ND,ND
200082,KNOWLEDGE TRACK INC.,101283,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, OTTAWA",OTTAWA,K2G 5J8,CUSTOMER SERVICE AND INFORMATION CLERK,Services,Customer Service/Retail Sales,Y,SS,ND,ND,ND,ND,ND
200082,KNOWLEDGE TRACK INC.,101283,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, OTTAWA",OTTAWA,K2G 5J8,HOME INSPECTION CERTIFICATE,Services,Other - Services,Y,SS,ND,ND,ND,ND,ND
200082,KNOWLEDGE TRACK INC.,101283,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, OTTAWA",OTTAWA,K2G 5J8,MEDICAL OFFICE ADMINISTRATION,Health Services,Medical Office Administration/Management,Y,SS,SS,SS,SS,ND,ND
200082,KNOWLEDGE TRACK INC.,101283,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, OTTAWA",OTTAWA,K2G 5J8,MEDICAL RECEPTIONIST,Health Services,Office/Clerical/Administration - Dental/Medical,Y,SS,ND,ND,ND,ND,ND
200082,KNOWLEDGE TRACK INC.,101283,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, OTTAWA",OTTAWA,K2G 5J8,NETWORK ADMINISTRATOR,Computer and Information Technology,Network Administration,Y,SS,SS,SS,SS,ND,ND
200082,KNOWLEDGE TRACK INC.,101283,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, OTTAWA",OTTAWA,K2G 5J8,OFFICE ADMINISTRATION,Business,Office Administration,Y,ND,ND,ND,SS,ND,ND
200082,KNOWLEDGE TRACK INC.,101283,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, OTTAWA",OTTAWA,K2G 5J8,PROJECT ADMINISTRATION,Business,Project Administration/Management,Y,SS,SS,SS,SS,ND,ND
200082,KNOWLEDGE TRACK INC.,101283,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, OTTAWA",OTTAWA,K2G 5J8,SALES PROFESSIONAL,Services,Customer Service/Retail Sales,Y,SS,ND,ND,ND,ND,ND
200082,KNOWLEDGE TRACK INC.,101283,"ACADEMY OF LEARNING CAREER AND BUSINESS COLLEGE, OTTAWA",OTTAWA,K2G 5J8,WEB DESIGNER,Computer and Information Technology,Information Technology,Y,ND,SS,SS,SS,ND,ND
200089,KIM RICHARDSON TRANSPORTATION SPECIALISTS INC.,+,+,,,+,,,Y,40.3%,100.0%,96.6%,82.8%,100.0%,ND
200089,KIM RICHARDSON TRANSPORTATION SPECIALISTS INC.,101292,"KIM RICHARDSON TRANSPORTATION SPECIALISTS INC., CALEDONIA",CALEDONIA,N3W 1B8,+,,,Y,40.3%,100.0%,96.6%,82.8%,100.0%,ND
200089,KIM RICHARDSON TRANSPORTATION SPECIALISTS INC.,101292,"KIM RICHARDSON TRANSPORTATION SPECIALISTS INC., CALEDONIA",CALEDONIA,N3W 1B8,AZ PROGRAM,Tractor-Trailer / Driver Licensing,AZ Class Truck Driver,Y,58.3%,100.0%,100.0%,100.0%,ND,ND
200089,KIM RICHARDSON TRANSPORTATION SPECIALISTS INC.,101292,"KIM RICHARDSON TRANSPORTATION SPECIALISTS INC., CALEDONIA",CALEDONIA,N3W 1B8,HEAVY EQUIPMENT OPERATOR,Construction Trade,Heavy Equipment Operator,Y,44.4%,ND,ND,ND,ND,ND
200089,KIM RICHARDSON TRANSPORTATION SPECIALISTS INC.,101292,"KIM RICHARDSON TRANSPORTATION SPECIALISTS INC., CALEDONIA",CALEDONIA,N3W 1B8,TRACTOR-TRAILER MELT,Tractor-Trailer / Driver Licensing,A Class Truck Driver,Y,40.4%,100.0%,95.2%,76.2%,100.0%,ND
200089,KIM RICHARDSON TRANSPORTATION SPECIALISTS INC.,101292,"KIM RICHARDSON TRANSPORTATION SPECIALISTS INC., CALEDONIA",CALEDONIA,N3W 1B8,TRANSPORTATION AND CONSTRUCTION PROGRAM,Construction Trade,Other - Construction Trade,Y,20.0%,SS,SS,SS,ND,ND
200089,KIM RICHARDSON TRANSPORTATION SPECIALISTS INC.,101292,"KIM RICHARDSON TRANSPORTATION SPECIALISTS INC., CALEDONIA",CALEDONIA,N3W 1B8,TRUCK DRIVING (DZ),Tractor-Trailer / Driver Licensing,DZ Class Truck Driver,Y,44.4%,SS,SS,SS,ND,ND
200091,THE COLLEGE OF SPORTS MEDIA INC.,+,+,,,+,,,Y,82.5%,81.8%,81.8%,90.9%,100.0%,ND
200091,THE COLLEGE OF SPORTS MEDIA INC.,101294,"THE COLLEGE OF SPORTS MEDIA INC., TORONTO",TORONTO,M5A 2N4,+,,,Y,82.5%,81.8%,81.8%,90.9%,100.0%,ND
200091,THE COLLEGE OF SPORTS MEDIA INC.,101294,"THE COLLEGE OF SPORTS MEDIA INC., TORONTO",TORONTO,M5A 2N4,RADIO & TELEVISION SPORTS BROADCASTING,Applied Arts and Science,Music Production and Recording Arts Technology,Y,82.5%,81.8%,81.8%,90.9%,100.0%,ND
200094,2001016 ONTARIO INC.,+,+,,,+,,,Y,97.4%,85.0%,63.0%,77.9%,100.0%,ND
200094,2001016 ONTARIO INC.,101299,"YORK CONSTRUCTION ACADEMY, TORONTO",TORONTO,M3J 2C6,+,,,Y,97.4%,85.0%,63.0%,77.9%,100.0%,ND
200094,2001016 ONTARIO INC.,101299,"YORK CONSTRUCTION ACADEMY, TORONTO",TORONTO,M3J 2C6,CONSTRUCTION TECHNOLOGY (12 WEEKS)*,Construction Trade,Heavy Equipment Operator,Y,97.0%,See combined program results below,See combined program results below,See combined program results below,See combined program results below,ND
200094,2001016 ONTARIO INC.,101299,"YORK CONSTRUCTION ACADEMY, TORONTO",TORONTO,M3J 2C6,CONSTRUCTION TECHNOLOGY (8 WEEKS)*,Construction Trade,Heavy Equipment Operator,Y,97.8%,See combined program results below,See combined program results below,See combined program results below,See combined program results below,ND
200094,2001016 ONTARIO INC.,101299,"YORK CONSTRUCTION ACADEMY, TORONTO",TORONTO,M3J 2C6,CONSTRUCTION TECHNOLOGY (COMBINED 8 WEEKS AND 12 WEEKS)**,Construction Trade,Heavy Equipment Operator,Y,See program results above,85.0%,63.0%,77.9%,100.0%,See program results above
200102,1214707 ONTARIO LTD.,+,+,,,+,,,Y,64.4%,74.6%,65.7%,68.1%,100.0%,ND
200102,1214707 ONTARIO LTD.,101314,"CANADIAN COLLEGE OF HEALTH SCIENCE AND TECHNOLOGY, WINDSOR",WINDSOR,N8W 3P2,+,,,Y,64.4%,74.6%,65.7%,68.1%,100.0%,10.3%
200102,1214707 ONTARIO LTD.,101314,"CANADIAN COLLEGE OF HEALTH SCIENCE AND TECHNOLOGY, WINDSOR",WINDSOR,N8W 3P2,ACCOUNTING ADMINISTRATOR + INTERNSHIP,Business,Accounting and Payroll Administration,Y,66.7%,92.3%,76.9%,61.5%,100.0%,ND
200102,1214707 ONTARIO LTD.,101314,"CANADIAN COLLEGE OF HEALTH SCIENCE AND TECHNOLOGY, WINDSOR",WINDSOR,N8W 3P2,ADDICTIONS AND MENTAL HEALTH WORKER,Community and Social Services,Community Services Worker,Y,58.6%,57.1%,50.0%,61.5%,100.0%,ND
200102,1214707 ONTARIO LTD.,101314,"CANADIAN COLLEGE OF HEALTH SCIENCE AND TECHNOLOGY, WINDSOR",WINDSOR,N8W 3P2,COMMUNITY SERVICE WORKER,Community and Social Services,Community Services Worker,Y,SS,ND,ND,ND,ND,ND
200102,1214707 ONTARIO LTD.,101314,"CANADIAN COLLEGE OF HEALTH SCIENCE AND TECHNOLOGY, WINDSOR",WINDSOR,N8W 3P2,LAW ENFORCEMENT FOUNDATIONS,Law and Public Safety,Law Enforcement/Police Foundations,Y,SS,SS,SS,SS,ND,ND
200102,1214707 ONTARIO LTD.,101314,"CANADIAN COLLEGE OF HEALTH SCIENCE AND TECHNOLOGY, WINDSOR",WINDSOR,N8W 3P2,LEGAL ADMINISTRATIVE ASSISTANT + INTERNSHIP,Law and Public Safety,Legal Office Administration,Y,40.0%,SS,SS,SS,ND,ND
200102,1214707 ONTARIO LTD.,101314,"CANADIAN COLLEGE OF HEALTH SCIENCE AND TECHNOLOGY, WINDSOR",WINDSOR,N8W 3P2,MASSAGE & HYDROTHERAPY,Health Services,Massage Therapist,Y,66.7%,70.0%,70.0%,58.3%,ND,ND
200102,1214707 ONTARIO LTD.,101314,"CANADIAN COLLEGE OF HEALTH SCIENCE AND TECHNOLOGY, WINDSOR",WINDSOR,N8W 3P2,MEDICAL OFFICE ASSISTANT + INTERNSHIP,Health Services,Medical Office Administration/Management,Y,85.2%,75.0%,68.8%,76.5%,100.0%,ND
200102,1214707 ONTARIO LTD.,101314,"CANADIAN COLLEGE OF HEALTH SCIENCE AND TECHNOLOGY, WINDSOR",WINDSOR,N8W 3P2,OFFICE ADMINISTRATOR + INTERNSHIP,Business,Office Administration,Y,SS,ND,ND,ND,ND,ND
200102,1214707 ONTARIO LTD.,101314,"CANADIAN COLLEGE OF HEALTH SCIENCE AND TECHNOLOGY, WINDSOR",WINDSOR,N8W 3P2,PERSONAL SUPPORT WORKER NACC,Health Services,Personal Support Worker/ Personal Attendant (NACC),Y,62.5%,77.8%,77.8%,88.9%,100.0%,ND
200116,1002948 ONTARIO LTD.,+,+,,,+,,,Y,35.7%,62.5%,37.5%,88.9%,ND,ND
200116,1002948 ONTARIO LTD.,102747,"FLAIR COLLEGE OF MANAGEMENT AND TECHNOLOGY, VAUGHAN",CONCORD,L4K 1X2,+,,,Y,0.0%,SS,SS,SS,ND,ND
200116,1002948 ONTARIO LTD.,102747,"FLAIR COLLEGE OF MANAGEMENT AND TECHNOLOGY, VAUGHAN",CONCORD,L4K 1X2,BUSINESS ADMINISTRATION,Business,Business Administration,Y,0.0%,SS,SS,SS,ND,ND
200116,1002948 ONTARIO LTD.,102747,"FLAIR COLLEGE OF MANAGEMENT AND TECHNOLOGY, VAUGHAN",CONCORD,L4K 1X2,CHEF DE CUISINE,Service Trade,Chef,Y,SS,ND,ND,ND,ND,ND
200116,1002948 ONTARIO LTD.,102747,"FLAIR COLLEGE OF MANAGEMENT AND TECHNOLOGY, VAUGHAN",CONCORD,L4K 1X2,CULINARY & HOSPITALITY OPERATIONS MANAGEMENT,Service Trade,Chef,Y,SS,ND,ND,ND,ND,ND
200116,1002948 ONTARIO LTD.,204383,"FLAIR COLLEGE OF MANAGEMENT AND TECHNOLOGY, FCMT - BRAMPTON",BRAMPTON,L6V 1B5,+,,,Y,100.0%,80.0%,40.0%,100.0%,ND,ND
200116,1002948 ONTARIO LTD.,204383,"FLAIR COLLEGE OF MANAGEMENT AND TECHNOLOGY, FCMT - BRAMPTON",BRAMPTON,L6V 1B5,DIPLOMA IN COMPUTING SUPPORT,Computer and Information Technology,Computer Support Specialist,Y,SS,SS,SS,SS,ND,ND
200116,1002948 ONTARIO LTD.,204383,"FLAIR COLLEGE OF MANAGEMENT AND TECHNOLOGY, FCMT - BRAMPTON",BRAMPTON,L6V 1B5,POST GRADUATE DIPLOMA IN PROJECT MANAGEMENT,Business,Project Administration/Management,Y,SS,SS,SS,SS,ND,ND
200128,1039810 ONTARIO LTD.,+,+,,,+,,,Y,86.9%,62.2%,26.7%,75.0%,ND,ND
200128,1039810 ONTARIO LTD.,101372,"CITI COLLEGE OF CANADIAN CAREERS, TORONTO/YORK MILLS RD.",TORONTO,M4A 2V6,+,,,Y,82.6%,66.7%,27.3%,81.0%,ND,9.8%
200128,1039810 ONTARIO LTD.,101372,"CITI COLLEGE OF CANADIAN CAREERS, TORONTO/YORK MILLS RD.",TORONTO,M4A 2V6,ACCOUNTING AND PAYROLL ADMINISTRATION,Business,Accounting and Payroll Administration,Y,66.7%,SS,SS,SS,ND,ND
200128,1039810 ONTARIO LTD.,101372,"CITI COLLEGE OF CANADIAN CAREERS, TORONTO/YORK MILLS RD.",TORONTO,M4A 2V6,BUSINESS ADMINISTRATION,Business,Business Administration,Y,SS,SS,SS,SS,ND,ND
200128,1039810 ONTARIO LTD.,101372,"CITI COLLEGE OF CANADIAN CAREERS, TORONTO/YORK MILLS RD.",TORONTO,M4A 2V6,BUSINESS MANAGEMENT,Business,Business Management,Y,86.2%,50.0%,25.0%,69.2%,ND,ND
